Motif;StartMeasure;EndMeasure
Feuerzauber;800;801.333
Feuerzauber;802;803.333
Feuerzauber;804;805.333
Feuerzauber;806;807.333
Feuerzauber;1243;1244.5
Feuerzauber;1245;1246.375
Feuerzauber;1251;1252.999
Feuerzauber;1253;1254.5
Feuerzauber;1479;1480.5
Feuerzauber;1502;1503.25
Feuerzauber;1507;1508.125
Feuerzauber;1520;1521.25
Horn;1;2.999
Horn;3;5.333
Horn;15;18.999
Horn;37;38.833
Horn;148;149.999
Horn;502;503.777
Horn;505;509.999
Horn;527;528.999
Horn;529;530.999
Horn;531;531.999
Horn;532;532.999
Horn;533;533.999
Horn;534;535.999
Horn;536;536.999
Horn;537;537.999
Horn;538;539.999
Horn;544;546.5
Horn;549.5;550.75
Horn;566.25;566.999
Horn;567;567.75
Horn;570;570.999
Horn;571;571.999
Horn;572;572.999
Horn;992;992.5
Horn;993;993.5
Horn;999;999.5
Horn;1001;1001.5
Horn;1002;1002.5
Horn;1058;1058.5
Horn;1059;1059.5
Horn;1104;1104.5
Liebe;945.5;947.25
Liebe;946.75;949.125
Nibelungen;327;327.999
Nibelungen;328;328.999
Nibelungen;638.5;639.999
Nibelungen;642;642.999
Nibelungen;643;643.999
Nibelungen;644;644.999
Nibelungen;645;645.999
Nibelungen;654;654.999
Nibelungen;655;655.999
Nibelungen;659;659.999
Nibelungen;660;660.999
Nibelungen;667;667.999
Nibelungen;668;668.999
Nibelungen;669;669.999
Nibelungen;670;670.999
Nibelungen;671;671.999
Nibelungen;672;672.5
Nibelungen;754;754.999
Nibelungen;755;755.999
Nibelungen;756;756.999
Nibelungen;757;757.999
Ring;207;208.999
Ring;209;209.999
Ring;210;210.999
Ring;285;286.999
Ring;287;288.999
Ring;294;295.999
Ring;297;298.999
Ring;308;308.888
Ring;309;309.888
Ring;310;310.888
Ring;311;311.999
Ring;312.5;313.999
Ring;314;314.999
Ring;319;319.999
Ring;320;320.999
Ring;357;358.999
Ring;359;360.999
Ring;366;367.625
Ring;370;371.625
Ring;372;374.625
Ring;397;397.875
Ring;397.875;398.999
Ring;433;433.999
Ring;434;434.999
Ring;435;435.999
Ring;436;436.999
Ring;437;437.999
Ring;438;438.999
Ring;439;439.999
Ring;440;440.999
Ring;441;441.999
Ring;442;442.999
Ring;1138;1139.375
Ring;1142;1143.375
Ring;1144;1144.999
Ring;1145;1145.999
Ring;1152;1152.875
Ring;1153;1153.875
Ring;1154;1154.5
Ring;1154.5;1154.99
Ring;1373;1374.125
Ring;1375;1376.999
Ring;1409;1410.999
Schicksal;341;343.5
Schicksal;852;853.375
Schicksal;860;861.999
Schicksal;863;864.999
Schicksal;885;886.999
Schicksal;911;912.999
Schicksal;1013;1014.999
Schicksal;1175;1176.999
Schicksal;1179;1180.999
Schicksal;1223;1224.999
Schicksal;1226;1227.999
Schicksal;1229;1230.999
Schicksal;1318;1319.999
Schicksal;1322;1323.375
Schicksal;1325;1327.375
Schicksal;1328;1329.375
Schicksal;1330.5;1331.875
Schicksal;1331.5;1332.999
Schicksal;1335;1337.999
Schicksal;1339;1340.999
Schicksal;1342;1343.999
Schwert;375.875;376.999
Schwert;679.833;680.999
Schwert;953.833;955.75
Schwert;1158.875;1160.999
Schwert;1282.833;1284.999
Siegfried;372.875;374.625
Siegfried;844.833;846.999
Siegfried;892.833;893.833
Siegfried;894.916;895.833
Siegfried;896.916;898.5
Siegfried;898.916;899.999
Siegfried;959.875;963.999
Siegfried;965.875;968.999
Siegfried;1059.875;1061.999
Siegfried;1244;1248.625
Siegfried;1252.875;1256.625
Siegfried;1468.875;1470.375
Siegfried;1470.875;1474.5
Siegfried;1494.75;1499.25
Siegfried;1589.75;1591.999
Vertrag;363.25;364.5
Vertrag;1417.25;1419.999
Waberlohe;818.166;819.5
Waberlohe;819.166;820.833
Waberlohe;820.166;821.833
Waberlohe;821.166;822.833
Waberlohe;822.166;823.833
Waberlohe;823.166;824.5
Waberlohe;824.166;825.5
Waberlohe;825.166;826.999
Waldweben;705;705.999
Waldweben;706;706.999
Waldweben;707;707.999
Waldweben;708;708.999
Waldweben;709;709.999
Waldweben;710;710.999
Waldweben;711;711.999
Waldweben;712;712.999
Waldweben;713;713.999
Waldweben;714;714.999
Waldweben;715;715.999
Waldweben;716;716.999
Waldweben;717;717.999
Waldweben;718;718.999
Waldweben;719;719.999
Waldweben;720;720.999
Waldweben;721;721.999
Waldweben;722;722.999
Waldweben;723;723.999
Waldweben;728;728.999
Waldweben;729;729.999
Waldweben;730;730.999
Waldweben;731;731.999
Waldweben;732;732.999
Waldweben;733;733.999
Waldweben;734;734.999
Waldweben;735;735.999
Waldweben;736;736.999
Waldweben;737;737.999
Waldweben;738;738.999
Waldweben;739;739.999
Waldweben;740;740.999
Waldweben;741;741.999
Waldweben;742;742.999
Waldweben;743;743.999
Waldweben;744;744.999
Waldweben;745;745.999
Waldweben;777;777.999
Waldweben;778;778.999
Waldweben;779;779.999
Waldweben;780;780.999
Waldweben;781;781.999
Waldweben;782;782.999
Waldweben;783;783.999
Waldweben;784;784.999
Walhall-b;1360;1360.999
Walhall-b;1585;1587.999
Walhall-b;1588;1591.999
