Motif;StartMeasure;EndMeasure
Horn;961;963.999
Horn;964.5;965.999
Horn;968.5;969.999
Horn;989;990.999
Horn;991;992.999
Horn;995;996.999
Horn;1006.75;1007.5
Horn;1059;1060.999
Horn;1075;1076.999
Horn;1651.5;1651.999
Horn;1652.5;1652.999
Horn;1653.5;1653.999
Horn;1654.5;1654.999
Horn;1655.5;1656.5
Horn;1657;1657.999
Horn;1658.5;1659.999
Horn;1661.5;1661.999
Horn;1662.5;1662.999
Horn;1663.5;1663.999
Horn;1664.5;1664.999
Horn;1665.5;1665.999
Horn;1666.5;1666.999
Horn;1667.5;1667.999
Horn;1668.5;1668.999
Horn;1669.5;1669.999
Horn;1670.5;1670.999
Horn;1671.5;1671.999
Jugendkraft;533.333;534.666
Jugendkraft;535;536.166
Jugendkraft;614;614.999
Jugendkraft;615;615.999
Jugendkraft;616;616.999
Mime;654.5;655.75
Mime;656;656.75
Mime;657;657.5
Mime;657.5;657.999
Mime;658;658.5
Mime;658.5;658.999
Mime;659;659.5
Mime;659.5;659.999
Mime;660.5;660.999
Mime;661.5;661.999
Mime;662.5;662.999
Mime;705;705.5
Mime;705.5;705.999
Mime;706;706.5
Mime;706.5;706.999
Mime;707;707.5
Mime;707.5;707.999
Mime;708;708.5
Mime;708.5;708.999
Mime;709;709.5
Mime;709.5;709.999
Mime;710;710.5
Mime;710.5;710.999
Mime;711;711.5
Mime;711.5;711.999
Mime;712;712.5
Mime;712.5;712.999
Nibelungen;540.333;540.999
Nibelungen;541.333;541.999
Nibelungen;684.25;684.999
Nibelungen;685;685.625
Nibelungen;752.5;753.999
Nibelungen;754.5;755.999
Nibelungen;756;756.999
Nibelungen;757;757.999
Nibelungen;758;758.999
Nibelungen;759;759.999
Nibelungen;760;760.999
Nibelungen;1295;1295.999
Nibelungen;1299;1299.999
Nibelungen;1641.25;1641.999
Nibelungen;1643.25;1643.999
Nibelungen;1644.25;1644.5
Nibelungen;1651;1651.625
Nibelungen;1652;1652.625
Nibelungen;1653;1653.625
Nibelungen;1654;1654.625
Nibelungen;1655;1655.625
Nibelungen;1656.5;1656.999
Nibelungen;1658;1658.5
Nibelungen;1661;1661.625
Nibelungen;1662;1662.625
Nibelungen;1663;1663.625
Nibelungen;1664;1664.625
Nibelungen;1665;1665.625
Nibelungen;1666;1666.625
Nibelungen;1667;1667.625
Nibelungen;1668;1668.625
Nibelungen;1669;1669.625
Nibelungen;1670;1670.625
Nibelungen;1671;1671.625
Nibelungen;1697.5;1698.25
Nibelungen;1699.5;1700.25
Nibelungen;1751.666;1752.5
Nibelungen;1753.666;1754.5
