Motif;StartMeasure;EndMeasure
Feuerzauber;2116;2117.25
Feuerzauber;2118;2119.25
Feuerzauber;2154;2155.25
Feuerzauber;2156;2157.25
Horn;252;253.5
Horn;255;256.5
Horn;258;258.999
Horn;259;259.999
Horn;260;260.5
Horn;260.5;260.999
Horn;261;261.5
Horn;261.5;261.999
Horn;262;263.5
Horn;266;266.999
Horn;267;267.999
Horn;268;269.5
Horn;271;271.999
Horn;272;272.999
Horn;273;273.999
Horn;274;274.999
Horn;275;275.999
Horn;276;276.999
Horn;282;282.999
Horn;283;283.999
Horn;284;284.5
Horn;284.5;284.999
Horn;285;285.5
Horn;285.5;285.999
Horn;286;286.999
Horn;287;287.999
Horn;288.5;288.999
Horn;289.5;289.999
Horn;305;307.999
Horn;539;540.999
Horn;2304;2305.5
Horn;2307;2308.5
Horn;2337;2338.5
Horn;2345;2345.999
Horn;2346;2346.999
Horn;2347;2348.5
Horn;2351;2351.999
Horn;2352;2352.999
Horn;2354;2355.5
Horn;2368;2369.5
Horn;2371;2372.5
Horn;2955;2957.999
Horn;2957;2959.999
Horn;2961;2963.999
Horn;2965;2967.999
Jugendkraft;342;343.999
Jugendkraft;344;345.999
Jugendkraft;346;346.999
Jugendkraft;347;347.999
Jugendkraft;348;348.999
Jugendkraft;349;349.999
Jugendkraft;354;355.999
Jugendkraft;358;359.999
Jugendkraft;362;362.999
Jugendkraft;363;363.999
Jugendkraft;364;364.999
Jugendkraft;365;365.999
Jugendkraft;366;366.999
Jugendkraft;367;367.999
Jugendkraft;368;368.999
Jugendkraft;369;369.999
Jugendkraft;370;370.999
Jugendkraft;371;371.999
Jugendkraft;372;372.999
Jugendkraft;373;373.999
Jugendkraft;374;375.999
Jugendkraft;378;379.999
Jugendkraft;380;381.999
Jugendkraft;382;382.999
Jugendkraft;383;383.999
Jugendkraft;402;403.999
Jugendkraft;406;407.999
Jugendkraft;408;409.999
Jugendkraft;410;410.999
Jugendkraft;411;411.999
Jugendkraft;412;412.999
Jugendkraft;413;413.999
Jugendkraft;418;419.999
Jugendkraft;420;421.999
Jugendkraft;422;423.999
Jugendkraft;424;425.999
Jugendkraft;426;427.999
Jugendkraft;428;429.999
Jugendkraft;430;431.999
Jugendkraft;432;433.999
Jugendkraft;462;463.999
Jugendkraft;494;495.999
Jugendkraft;608.333;609.666
Jugendkraft;615.333;616.666
Jugendkraft;622.333;623.666
Jugendkraft;629.333;630.666
Jugendkraft;631.333;631.999
Jugendkraft;632;632.999
Jugendkraft;633;633.999
Jugendkraft;634;634.999
Jugendkraft;635;635.999
Jugendkraft;636;636.999
Jugendkraft;637;637.999
Jugendkraft;638;638.999
Jugendkraft;639;639.999
Jugendkraft;640;640.999
Jugendkraft;641;641.999
Jugendkraft;662;663.999
Jugendkraft;664;665.999
Jugendkraft;674;675.999
Jugendkraft;852.666;853.333
Jugendkraft;918;919.999
Jugendkraft;920;921.999
Jugendkraft;922;923.999
Jugendkraft;1132;1133.999
Jugendkraft;1134;1135.999
Jugendkraft;1136;1137.999
Jugendkraft;1138;1139.999
Jugendkraft;1140;1141.999
Jugendkraft;1142;1143.999
Jugendkraft;1144;1145.999
Jugendkraft;1146;1147.999
Jugendkraft;1197;1197.999
Jugendkraft;1198.333;1199.666
Jugendkraft;1200.333;1201.666
Jugendkraft;1202.333;1203.666
Jugendkraft;1204.333;1204.999
Jugendkraft;1806;1807.999
Jugendkraft;1808;1809.999
Jugendkraft;1810;1811.999
Jugendkraft;1812;1812.999
Jugendkraft;1813;1813.999
Jugendkraft;1814;1814.999
Jugendkraft;1815;1815.999
