Motif;StartMeasure;EndMeasure
Feuerzauber;1471;1471.999
Feuerzauber;1472;1472.999
Feuerzauber;1473;1473.999
Feuerzauber;1474;1474.999
Feuerzauber;1475;1476.5
Feuerzauber;1477;1478.5
Feuerzauber;1479;1479.999
Feuerzauber;1480;1480.999
Feuerzauber;1481;1481.999
Feuerzauber;1482;1482.999
Feuerzauber;1483;1483.999
Feuerzauber;1484;1484.999
Feuerzauber;1485;1485.999
Feuerzauber;1535;1535.999
Feuerzauber;1536;1536.999
Feuerzauber;1537;1537.999
Feuerzauber;1538;1538.999
Feuerzauber;1539;1540.25
Feuerzauber;1541;1542.25
Feuerzauber;1543;1543.999
Feuerzauber;1544;1544.999
Feuerzauber;1545;1545.5
Feuerzauber;1661;1662.25
Feuerzauber;1664;1665.25
Feuerzauber;1674;1675.5
Feuerzauber;1676;1677.25
Feuerzauber;1678;1679.5
Feuerzauber;1680;1681.25
Feuerzauber;1682;1683.25
Feuerzauber;1684;1684.999
Feuerzauber;1685;1685.999
Feuerzauber;1686;1686.999
Feuerzauber;1687;1687.999
Feuerzauber;1688;1688.999
Feuerzauber;1689;1689.999
Feuerzauber;1690;1690.999
Feuerzauber;1691;1691.999
Feuerzauber;1692;1692.999
Feuerzauber;1693;1693.999
Feuerzauber;1694;1694.999
Feuerzauber;1695;1695.999
Feuerzauber;1696;1696.999
Feuerzauber;1697;1697.999
Feuerzauber;1698;1698.999
Feuerzauber;1699;1699.999
Feuerzauber;1700;1700.999
Feuerzauber;1701;1701.999
Feuerzauber;1702;1702.999
Feuerzauber;1703;1703.999
Feuerzauber;1704;1704.999
Feuerzauber;1705;1705.999
Feuerzauber;1706;1706.999
Feuerzauber;1707;1707.999
Feuerzauber;1708;1708.999
Feuerzauber;1709;1709.999
Feuerzauber;1710;1710.999
Feuerzauber;1711;1711.999
Feuerzauber;1712;1712.999
Feuerzauber;1713;1713.999
Feuerzauber;1714;1714.999
Feuerzauber;1715;1715.999
Feuerzauber;1716;1716.999
Feuerzauber;1717;1717.999
Feuerzauber;1718;1718.999
Feuerzauber;1719;1719.999
Feuerzauber;1720;1720.999
Feuerzauber;1721;1721.999
Feuerzauber;1722;1722.999
Feuerzauber;1723;1723.999
Feuerzauber;1724;1724.999
Feuerzauber;1725;1725.999
Feuerzauber;1726;1726.999
Feuerzauber;1727;1727.999
Feuerzauber;1728;1728.999
Feuerzauber;1729;1729.999
Feuerzauber;1730;1730.999
Geschwisterliebe;239;242.999
Geschwisterliebe;354;354.875
Geschwisterliebe;487;488.666
Geschwisterliebe;489;490.666
Liebe;1323;1325.25
Ring;458;459.938
Ritt;5.333;5.999
Ritt;6.333;6.999
Ritt;7.333;7.999
Ritt;8.333;8.999
Ritt;9.333;9.999
Ritt;10.333;10.999
Ritt;11.333;11.999
Ritt;12.333;12.999
Ritt;16.333;16.999
