Motif;StartMeasure;EndMeasure
Geschwisterliebe;212;215.833
Geschwisterliebe;295;298.833
Geschwisterliebe;300;301.666
Geschwisterliebe;305;308.833
Geschwisterliebe;307;309.333
Geschwisterliebe;425.875;427.375
Geschwisterliebe;751;754.5
Geschwisterliebe;757;760.833
Geschwisterliebe;759;762.833
Geschwisterliebe;761;763.999
Geschwisterliebe;1299;1300.333
Geschwisterliebe;1301;1302.666
Geschwisterliebe;1305;1307.166
Geschwisterliebe;1312;1313.666
Geschwisterliebe;1316;1317.833
Geschwisterliebe;1317;1318.833
Liebe;216;217.5
Liebe;217;218.5
Liebe;287;288.5
Liebe;291;292.5
Liebe;292;293.5
Liebe;293;294.5
Liebe;333;335.5
Liebe;335;337.999
Liebe;376;377.5
Liebe;377;378.5
Liebe;378;379.5
Liebe;468.25;469.625
Liebe;469.25;470.999
Liebe;562;563.5
Liebe;563;564.5
Liebe;592;593.625
Liebe;826.625;827.999
Liebe;829.625;831.5
Liebe;1136;1137.999
Liebe;1138;1139.999
Liebe;1144;1145.999
Liebe;1146;1147.999
Liebe;1148;1149.999
Liebe;1150;1151.999
Liebe;1157;1158.333
Liebe;1159;1160.333
Liebe;1163;1164.666
Liebe;1178;1179.999
Liebe;1180;1181.666
Liebe;1194;1195.666
Liebe;1198;1199.666
Liebe;1212;1213.25
Liebe;1238;1239.5
Liebe;1239;1240.666
Liebe;1251;1252.999
Liebe;1252;1253.999
Liebe;1320;1321.999
Liebe;1469.5;1471.875
Liebe;1471.5;1473.75
Liebe;1491;1492.625
Liebe;1492;1493.166
Liebe;1502;1503.125
Liebe;1502.5;1504.125
Liebe;1503.5;1504.5
Schwert;763.833;765.875
Schwert;765.875;767.999
Schwert;770;772.625
Schwert;791;791.999
Schwert;799;799.999
Schwert;803;804.25
Schwert;806;807.999
Schwert;848.875;850.999
Schwert;856.875;858.999
Schwert;862.875;864.999
Schwert;869.875;872.25
Schwert;877.875;879.999
Schwert;879.875;881.999
Schwert;888.875;890.999
Schwert;900;901.999
Schwert;909.875;911.999
Schwert;949.875;951.999
Schwert;985.833;988.333
Schwert;987.833;989.999
Schwert;989.833;991.999
Schwert;991.833;993.999
Schwert;993.833;995.666
Schwert;997.833;999.999
Schwert;1008.875;1010.999
Schwert;1322.833;1324.666
Schwert;1324.833;1326.666
Schwert;1385;1385.999
Schwert;1387;1388.375
Schwert;1390.875;1392.25
Schwert;1392.875;1395.5
Schwert;1437;1439.5
Schwert;1439.75;1441.75
Schwert;1462.875;1465.25
Schwert;1497.875;1499.875
Schwert;1499.875;1501.999
Vertrag;431.25;433.999
Vertrag;813;815.125
Vertrag;1393;1395.5
Walhall-b;557;558.666
Walhall-b;964;964.999
Walhall-b;966;966.999
Walhall-b;967;967.999
Walhall-b;968;968.999
Walhall-b;969;969.999
Walhall-b;970;970.999
Walhall-b;971;971.999
Walhall-b;972;972.999
Walhall-b;974;974.999
Walhall-b;976;976.999
Walhall-b;1013;1013.999
Walhall-b;1015;1015.999
Walhall-b;1017;1017.999
Walhall-b;1019;1019.999
Walhall-b;1270;1270.999
Walhall-b;1272;1272.999
Walhall-b;1273;1273.999
Walhall-b;1274;1274.999
Walhall-b;1275;1275.999
Walhall-b;1276;1276.999
Walhall-b;1328;1328.999
Walhall-b;1330;1330.999
Walhall-b;1332;1332.999
Walhall-b;1334;1334.999
Walhall-b;1336;1336.999
Walhall-b;1338;1338.999
Walhall-b;1340;1340.999
Walhall-b;1363.75;1364.25
Walhall-b;1364.25;1364.75
Walhall-b;1364.75;1365.5
