Motif;StartMeasure;EndMeasure
Horn;283;283.5
Horn;284;284.5
Horn;453.5;453.999
Horn;670;672.999
Horn;673;676.5
Horn;683;687.999
Horn;717;720.999
Horn;721;725.999
Horn;727;730.999
Horn;731;736.999
Liebe;551;554.5
Ring;265;265.999
Ring;266;266.999
Ring;271;271.999
Ring;272;272.999
Ring;273;273.999
Ring;502;503.875
Ring;518.5;519.625
Ring;860;861.999
Ring;862;862.999
Ring;863;863.999
Ring;864;865.999
Ring;866;866.999
Ritt;528.5;528.999
Ritt;529.5;529.999
Ritt;530.25;530.999
Ritt;539.25;539.75
Ritt;540.25;540.75
Ritt;541.25;541.75
Ritt;542.25;542.999
Ritt;543;543.75
Ritt;544;544.75
Ritt;545;545.75
Ritt;546;546.75
Ritt;547;547.5
Ritt;549.25;549.999
Ritt;551.25;551.999
Ritt;554.25;554.999
Schicksal;18;19.999
Schicksal;27.666;28.999
Schicksal;181;182.999
Schicksal;184;185.999
Schicksal;253;254.999
Schicksal;301;302.999
Schicksal;303;304.999
Schicksal;465.5;467.999
Schwert;280.125;280.833
Siegfried;454.875;456.999
Siegfried;455.875;457.625
Siegfried;467.5;469.5
Siegfried;504.875;508.999
Vertrag;76;78.333
Vertrag;175.25;176.5
Vertrag;207;208.999
Vertrag;209;210.999
Vertrag;221;222.999
Vertrag;223;224.999
