Motif;StartMeasure;EndMeasure
Feuerzauber;702;703.25
Feuerzauber;704;705.25
Feuerzauber;709;710.5
Feuerzauber;770;771.25
Feuerzauber;773;774.25
Feuerzauber;788;788.875
Feuerzauber;790;790.875
Feuerzauber;791;791.875
Feuerzauber;795;795.999
Feuerzauber;796;796.999
Horn;770;770.999
Horn;773;773.999
Horn;777;777.75
Horn;780.5;780.999
Horn;781.5;781.999
Horn;783.5;783.999
Horn;784.5;784.999
Horn;787;787.25
Horn;787.25;787.5
Horn;787.5;788.125
Horn;789;789.25
Horn;789.25;789.5
Horn;789.5;790.125
Horn;792;792.5
Horn;793;793.5
Horn;794;794.25
Horn;794.25;794.5
Horn;794.5;794.999
Jugendkraft;577;577.5
Jugendkraft;577.5;577.999
Jugendkraft;578;578.5
Jugendkraft;578.5;578.999
Jugendkraft;579;579.333
Jugendkraft;579.333;579.666
Jugendkraft;579.666;579.999
Nibelungen;539;539.999
Nibelungen;540;540.666
Ring;208;209.125
Ring;209;210.125
Ring;212;213.125
Ring;213;214.125
Ring;220;222.25
Ring;222;223.999
Ring;336;337.375
Ring;393;394.875
Ring;394;394.999
Ring;395;395.999
Ring;396;396.999
Ring;397;397.999
Ring;398;398.999
Ritt;1;1.5
Ritt;1.5;1.999
Ritt;2;2.59
Ritt;2.5;2.997
Ritt;3;3.5
Ritt;3.5;3.999
Ritt;4;4.5
Ritt;4.5;4.999
Ritt;5;5.5
Ritt;5.5;5.999
Ritt;6;6.5
Ritt;6.5;6.999
Ritt;7;7.5
Ritt;7.5;7.999
Ritt;8;8.5
Ritt;8.5;8.999
Ritt;9;9.5
Ritt;9.5;9.999
Ritt;10;10.5
Ritt;10.5;10.999
Ritt;11;11.5
Ritt;11.5;11.999
Ritt;12;12.5
Ritt;12.5;12.999
Ritt;13;13.5
Ritt;13.5;13.999
Ritt;14;14.5
Ritt;14.5;14.999
Ritt;15;15.5
Ritt;15.5;15.999
Ritt;16;16.5
Ritt;16.5;16.999
Ritt;17;17.5
Ritt;17.5;17.999
Ritt;18;18.5
Ritt;18.5;18.999
Ritt;19;19.5
Ritt;19.5;19.999
Ritt;20;20.5
Ritt;20.5;20.999
Ritt;23;23.999
Ritt;24;24.999
Ritt;25;25.999
Ritt;26;26.999
Ritt;27;27.999
Ritt;28;28.999
Ritt;29;29.999
Ritt;30;30.999
Ritt;31;31.999
Ritt;32;32.999
Ritt;33;33.999
Ritt;34;34.999
Ritt;35;35.999
Ritt;36;36.999
Ritt;37;37.999
Ritt;38;38.999
Ritt;39;39.999
Ritt;40;40.999
Ritt;41;41.999
Ritt;42;42.999
Ritt;43;43.999
Ritt;44;44.999
Ritt;45;45.999
Ritt;46;46.999
Ritt;47;47.999
Ritt;48;48.999
Ritt;49;49.999
Ritt;50;50.999
Ritt;52.25;52.999
Ritt;54.25;54.75
Schicksal;64;66.999
Schicksal;68;70.999
Schicksal;141;142.999
Schicksal;240;241.999
Schicksal;242;243.999
Schicksal;277;278.75
Schicksal;290;291.875
Schicksal;293;294.625
Schicksal;296;297.625
Schicksal;307;308.999
Schicksal;827;828.999
Schicksal;845;846.999
Schicksal;1031;1034.25
Schicksal;1036;1038.999
Schicksal;1052;1053.999
Schicksal;1194;1195.999
Schicksal;1257;1258.999
Schicksal;1552;1553.625
Schicksal;1650;1651.625
Schicksal;1663.5;1665.999
Schwert;384.875;386.25
Schwert;393.875;395.125
Schwert;474.888;476.111
Schwert;528.833;530.833
Schwert;737.833;739.25
Schwert;913.938;915.75
Schwert;1004.188;1005.75
Siegfried;380.875;382.999
Siegfried;400.75;402.625
Siegfried;714.875;716.625
Siegfried;717.875;719.125
