Motif;StartMeasure;EndMeasure
Feuerzauber;76;76.999
Feuerzauber;78;78.999
Feuerzauber;581;581.999
Feuerzauber;583;583.999
Feuerzauber;1547;1549.999
Feuerzauber;1551;1553.5
Feuerzauber;1555;1557.999
Feuerzauber;1559;1561.5
Feuerzauber;1586;1588.5
Feuerzauber;1592;1594.5
Horn;103;104.111
Horn;104;104.999
Horn;105;105.999
Horn;128;128.999
Horn;129;129.999
Horn;130;130.999
Horn;239.5;240.875
Horn;243.25;244.625
Horn;244.25;245.625
Horn;245.25;245.999
Horn;246.25;246.999
Horn;247;247.999
Horn;248;248.999
Horn;249;249.999
Horn;250;250.999
Horn;251;251.5
Horn;251.5;251.999
Horn;252;253.999
Horn;254;257.333
Horn;258;260.333
Horn;281;282.999
Horn;283;283.888
Horn;285;285.888
Horn;287;287.888
Horn;288;288.888
Horn;289;289.888
Horn;292;292.888
Horn;294;294.888
Horn;296;296.888
Horn;297;297.888
Horn;298;298.999
Horn;299;299.999
Horn;300;300.999
Horn;303;303.999
Horn;304;304.999
Horn;854.5;855.625
Horn;860.5;862.25
Horn;866;866.999
Horn;868;868.999
Horn;870.5;870.999
Horn;872.5;872.999
Horn;886.5;886.999
Horn;888.5;888.999
Horn;938.5;938.999
Horn;946.5;946.999
Horn;1586;1588.999
Horn;1592;1594.999
Horn;1600;1604.875
Nibelungen;424.25;424.999
Nibelungen;425.25;425.999
Nibelungen;426.25;426.999
Nibelungen;427;427.999
Nibelungen;429;429.999
Nibelungen;430;430.999
Nibelungen;435.25;435.999
Nibelungen;436;436.999
Nibelungen;438;438.999
Nibelungen;440.25;440.999
Nibelungen;441.25;441.999
Nibelungen;442.25;442.999
Nibelungen;451.5;451.999
Nibelungen;452;452.999
Nibelungen;754.75;755.999
Nibelungen;762;762.999
Nibelungenhass;870;871.125
Nibelungenhass;871.125;872.125
Nibelungenhass;872.125;873.125
Nibelungenhass;1786.875;1787.833
Nibelungenhass;1787.875;1788.833
Nibelungenhass;1788.875;1789.833
Nibelungenhass;1789.875;1791.083
Nibelungenhass;1797.125;1798.333
Nibelungenhass;1800.625;1801.833
Ring;21;21.999
Ring;132;133.999
Ring;134;134.999
Ring;135;135.999
Ring;136;137.999
Ring;307;307.999
Ring;308;308.999
Ring;453;454.75
Ring;757.5;760.25
Ring;936.5;938.25
Ring;939.5;940.375
Ring;944.5;946.25
Ring;947.5;948.375
Ring;997;999.999
Ring;1002;1003.25
Ring;1005;1006.75
Ring;1007;1007.999
Ring;1331;1332.75
Ring;1332.75;1334.999
Ring;1400;1400.999
Ring;1411;1412.999
Ring;1427;1427.999
Ring;1428;1428.999
Ring;1439;1439.999
Ring;1440;1440.999
Ring;1441;1441.999
Ring;1714;1714.999
Ring;1716;1716.999
Ring;1730;1730.75
Ring;1732;1732.75
Ritt;362.25;362.75
Ritt;363.5;363.999
Ritt;373.25;373.75
Ritt;380;380.5
Ritt;1028.666;1028.999
Ritt;1029.666;1029.999
Ritt;1037.666;1038.333
Ritt;1041.333;1041.999
Ritt;1042.333;1042.999
Ritt;1052;1052.999
Ritt;1053;1053.999
Ritt;1054;1054.999
Ritt;1055;1055.999
Ritt;1056;1056.999
Ritt;1057;1057.999
Ritt;1069.666;1069.999
Ritt;1070.666;1070.999
Ritt;1071.666;1071.999
Ritt;1072.666;1072.999
Ritt;1354.25;1354.999
Ritt;1355;1355.999
Ritt;1356;1356.999
Ritt;1357;1357.75
Schicksal;1275;1276.999
Schicksal;1278;1279.999
Schwert;102.916;103.666
Schwert;104;104.666
Schwert;128;128.666
Schwert;147;147.999
Schwert;205.25;206.999
Schwert;302.833;303.999
Schwert;418.875;420.75
Schwert;651.875;653.25
Schwert;1807.875;1809.999
Schwert;1824.125;1825.875
Siegfried;345.875;349.5
Siegfried;352.875;355.875
Siegfried;370;373.75
Siegfried;889.75;893.999
Siegfried;940.875;942.999
Siegfried;948.875;950.999
Siegfried;1151.875;1156.25
Siegfried;1582.75;1584.999
Siegfried;1597.75;1600.999
Unmuth;1200.125;1202.875
Unmuth;1205.125;1207.875
Unmuth;1222.188;1223.438
Unmuth;1226.188;1227.438
Unmuth;1230.188;1231.188
Unmuth;1231.5;1232.188
Unmuth;1312.188;1313.999
Unmuth;1318.188;1319.188
Unmuth;1319.5;1320.5
Unmuth;1346.375;1348.5
Unmuth;1350.375;1352.5
Unmuth;1368.375;1371.25
Unmuth;1371.375;1373.5
Unmuth;1373.5;1374.9
Vertrag;640;641.999
Vertrag;658;660.625
Vertrag;674.25;676.999
Vertrag;687;691.158
Vertrag;715;718.999
Vertrag;729;731.999
Vertrag;942.25;943.999
Vertrag;950.25;952.375
Vertrag;1240;1241.999
Vertrag;1808;1809.999
Walhall-b;919;921.125
Walhall-b;1237;1237.5
Walhall-b;1239;1240.875
Walhall-b;1242;1242.5
Walhall-b;1244;1245.999
Walhall-b;1252;1252.5
Walhall-b;1254;1255.666
